Rk,Gtm,Date,H/@,Opp,score Rslt,score Tm,score Opp,score OT,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF
1,1,10/23/24,@,TOR,W,136,106,,51,87,0.586,14,30,0.467,37,57,0.649,0.667,20,26,0.769,8,28,36,29,10,9,13,22,36,86,0.419,12,31,0.387,24,55,0.436,0.488,22,29,0.759,14,24,38,25,8,6,19,24
2,2,10/25/24,,DET,W,113,101,,42,82,0.512,13,34,0.382,29,48,0.604,0.591,16,23,0.696,5,34,39,28,13,4,13,15,38,81,0.469,13,32,0.406,25,49,0.51,0.549,12,17,0.706,8,34,42,25,3,5,22,22
3,3,10/26/24,@,WAS,W,135,116,,47,88,0.534,18,39,0.462,29,49,0.592,0.636,23,34,0.676,11,37,48,27,13,10,17,27,37,96,0.385,15,43,0.349,22,53,0.415,0.464,27,32,0.844,18,28,46,25,6,9,15,25
4,4,10/28/24,@,NYK,W,110,104,,39,82,0.476,12,36,0.333,27,46,0.587,0.549,20,24,0.833,9,32,41,21,10,5,14,20,40,90,0.444,9,28,0.321,31,62,0.5,0.494,15,18,0.833,13,30,43,22,8,3,16,21
5,5,10/30/24,,LAL,W,134,110,,56,97,0.577,17,41,0.415,39,56,0.696,0.665,5,8,0.625,6,30,36,37,14,2,12,26,38,77,0.494,6,28,0.214,32,49,0.653,0.532,28,33,0.848,5,32,37,21,6,0,21,7
6,6,11/1/24,,ORL,W,120,109,,44,87,0.506,15,38,0.395,29,49,0.592,0.592,17,20,0.85,7,42,49,25,6,4,13,21,41,90,0.456,11,33,0.333,30,57,0.526,0.517,16,24,0.667,7,32,39,26,10,4,14,17
7,7,11/2/24,@,MIL,W,114,113,,44,91,0.484,15,38,0.395,29,53,0.547,0.566,11,15,0.733,10,35,45,31,3,2,7,20,43,89,0.483,18,39,0.462,25,50,0.5,0.584,9,15,0.6,10,35,45,24,3,3,13,23
8,8,11/4/24,,MIL,W,116,114,,46,91,0.505,17,37,0.459,29,54,0.537,0.599,7,13,0.538,5,34,39,28,10,4,10,15,42,86,0.488,17,35,0.486,25,51,0.49,0.587,13,15,0.867,7,42,49,21,6,6,15,15
9,9,11/6/24,@,NOP,W,131,122,,52,96,0.542,17,35,0.486,35,61,0.574,0.63,10,13,0.769,12,34,46,33,6,10,13,21,42,88,0.477,13,27,0.481,29,61,0.475,0.551,25,28,0.893,8,25,33,21,8,8,10,14
10,10,11/8/24,,GSW,W,136,117,,46,85,0.541,20,42,0.476,26,43,0.605,0.659,24,28,0.857,9,34,43,33,7,7,20,12,47,98,0.48,13,42,0.31,34,56,0.607,0.546,10,14,0.714,11,29,40,32,14,4,17,24
11,11,11/9/24,,BRK,W,105,100,,40,74,0.541,10,28,0.357,30,46,0.652,0.608,15,19,0.789,4,29,33,24,12,5,16,18,34,76,0.447,15,43,0.349,19,33,0.576,0.546,17,18,0.944,10,26,36,21,4,2,20,14
12,12,11/11/24,@,CHI,W,119,113,,43,97,0.443,15,45,0.333,28,52,0.538,0.521,18,24,0.75,12,31,43,26,14,3,9,13,43,87,0.494,14,38,0.368,29,49,0.592,0.575,13,16,0.813,8,43,51,26,7,5,21,17
13,13,11/13/24,@,PHI,W,114,106,,42,85,0.494,16,40,0.4,26,45,0.578,0.588,14,17,0.824,9,37,46,25,8,1,11,14,41,92,0.446,14,43,0.326,27,49,0.551,0.522,10,11,0.909,12,33,45,24,8,2,12,13
14,14,11/15/24,,CHI,W,144,126,,51,93,0.548,21,43,0.488,30,50,0.6,0.661,21,24,0.875,4,36,40,33,11,6,13,16,45,88,0.511,20,42,0.476,25,46,0.543,0.625,16,20,0.8,3,33,36,32,7,4,17,20
15,15,11/17/24,,CHO,W,128,114,,44,77,0.571,13,30,0.433,31,47,0.66,0.656,27,28,0.964,9,39,48,26,3,4,20,15,42,103,0.408,20,52,0.385,22,51,0.431,0.505,10,12,0.833,17,23,40,34,12,6,10,23
16,16,11/19/24,@,BOS,L,117,120,,46,93,0.495,10,29,0.345,36,64,0.563,0.548,15,17,0.882,12,29,41,30,4,3,7,15,44,86,0.512,22,41,0.537,22,45,0.489,0.64,10,14,0.714,9,33,42,32,4,4,13,19
17,17,11/20/24,,NOP,W,128,100,,49,93,0.527,18,42,0.429,31,51,0.608,0.624,12,14,0.857,16,36,52,29,10,9,14,16,39,92,0.424,8,31,0.258,31,61,0.508,0.467,14,22,0.636,16,24,40,23,9,3,11,11
18,18,11/24/24,,TOR,W,122,108,,48,97,0.495,16,41,0.39,32,56,0.571,0.577,10,14,0.714,14,35,49,27,11,4,14,21,37,92,0.402,12,39,0.308,25,53,0.472,0.467,22,34,0.647,19,36,55,22,9,5,16,18
