Rk,Gtm,Date,H/@,Opp,score Rslt,score Tm,score Opp,score OT,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF
1,1,10/22/24,,NYK,W,132,109,,48,95,0.505,29,61,0.475,19,34,0.559,0.658,7,8,0.875,11,29,40,33,6,3,4,15,43,78,0.551,11,30,0.367,32,48,0.667,0.622,12,16,0.75,5,29,34,20,2,3,12,12
2,2,10/24/24,@,WAS,W,122,102,,42,90,0.467,17,45,0.378,25,45,0.556,0.561,21,27,0.778,12,37,49,21,7,3,14,19,41,95,0.432,7,36,0.194,34,59,0.576,0.468,13,18,0.722,10,30,40,27,9,6,15,19
3,3,10/26/24,@,DET,W,124,118,,38,90,0.422,22,48,0.458,16,42,0.381,0.544,26,30,0.867,13,24,37,19,10,6,10,16,43,88,0.489,14,39,0.359,29,49,0.592,0.568,18,22,0.818,9,35,44,27,4,7,15,22
4,4,10/28/24,,MIL,W,119,108,,43,87,0.494,18,47,0.383,25,40,0.625,0.598,15,19,0.789,4,34,38,24,5,5,14,18,37,82,0.451,8,31,0.258,29,51,0.569,0.5,26,31,0.839,8,35,43,18,7,6,17,24
5,5,10/30/24,@,IND,L,132,135,OT,44,109,0.404,19,57,0.333,25,52,0.481,0.491,25,31,0.806,18,33,51,23,11,5,14,19,50,104,0.481,15,38,0.395,35,66,0.53,0.553,20,24,0.833,16,41,57,33,10,5,19,26
6,6,11/1/24,@,CHO,W,124,109,,41,86,0.477,13,42,0.31,28,44,0.636,0.552,29,35,0.829,11,30,41,21,12,5,10,13,42,91,0.462,19,48,0.396,23,43,0.535,0.566,6,12,0.5,12,30,42,20,5,5,16,26
7,7,11/2/24,@,CHO,W,113,103,,36,82,0.439,16,52,0.308,20,30,0.667,0.537,25,28,0.893,8,36,44,23,4,4,15,17,40,91,0.44,17,42,0.405,23,49,0.469,0.533,6,9,0.667,7,27,34,24,10,1,13,25
8,8,11/4/24,@,ATL,W,123,93,,48,99,0.485,18,55,0.327,30,44,0.682,0.576,9,13,0.692,11,39,50,27,15,7,13,14,37,89,0.416,6,31,0.194,31,58,0.534,0.449,13,16,0.813,8,35,43,23,9,3,20,13
9,9,11/6/24,,GSW,L,112,118,,38,90,0.422,19,54,0.352,19,36,0.528,0.528,17,21,0.81,13,34,47,22,5,3,12,18,42,91,0.462,14,34,0.412,28,57,0.491,0.538,20,24,0.833,15,38,53,22,6,5,11,19
10,10,11/8/24,,BRK,W,108,104,OT,39,90,0.433,14,53,0.264,25,37,0.676,0.511,16,19,0.842,4,35,39,23,7,9,13,15,41,100,0.41,10,38,0.263,31,62,0.5,0.46,12,15,0.8,12,39,51,24,6,3,13,22
