Rk,Gtm,Date,H/@,Opp,score Rslt,score Tm,score Opp,score OT,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF
1,1,10/22/24,@,BOS,L,109,132,,43,78,0.551,11,30,0.367,32,48,0.667,0.622,12,16,0.75,5,29,34,20,2,3,12,12,48,95,0.505,29,61,0.475,19,34,0.559,0.658,7,8,0.875,11,29,40,33,6,3,4,15
2,2,10/25/24,,IND,W,123,98,,44,84,0.524,12,27,0.444,32,57,0.561,0.595,23,29,0.793,11,32,43,19,5,4,12,18,41,83,0.494,3,30,0.1,38,53,0.717,0.512,13,20,0.65,9,24,33,28,8,6,16,24
3,3,10/28/24,,CLE,L,104,110,,40,90,0.444,9,28,0.321,31,62,0.5,0.494,15,18,0.833,13,30,43,22,8,3,16,21,39,82,0.476,12,36,0.333,27,46,0.587,0.549,20,24,0.833,9,32,41,21,10,5,14,20
4,4,10/30/24,@,MIA,W,116,107,,40,82,0.488,18,40,0.45,22,42,0.524,0.598,18,20,0.9,7,35,42,30,8,4,11,16,37,81,0.457,17,40,0.425,20,41,0.488,0.562,16,24,0.667,7,32,39,27,6,3,10,17
5,5,11/1/24,@,DET,W,128,98,,52,101,0.515,18,38,0.474,34,63,0.54,0.604,6,10,0.6,12,33,45,31,16,3,10,14,41,81,0.506,11,34,0.324,30,47,0.638,0.574,5,7,0.714,6,32,38,23,6,9,22,12
6,6,11/4/24,@,HOU,L,97,109,,34,88,0.386,11,28,0.393,23,60,0.383,0.449,18,21,0.857,13,26,39,20,6,4,10,18,43,88,0.489,8,33,0.242,35,55,0.636,0.534,15,18,0.833,11,39,50,21,4,6,11,20
7,7,11/6/24,@,ATL,L,116,121,,41,84,0.488,22,47,0.468,19,37,0.514,0.619,12,15,0.8,7,34,41,29,5,5,16,18,45,100,0.45,15,38,0.395,30,62,0.484,0.525,16,22,0.727,16,32,48,31,12,4,8,14
8,8,11/8/24,,MIL,W,116,94,,43,91,0.473,14,46,0.304,29,45,0.644,0.549,16,19,0.842,14,34,48,35,7,3,11,20,36,83,0.434,7,30,0.233,29,53,0.547,0.476,15,23,0.652,11,30,41,20,1,5,12,16
9,9,11/10/24,@,IND,L,121,132,,46,83,0.554,7,25,0.28,39,58,0.672,0.596,22,27,0.815,8,31,39,23,5,3,14,20,45,88,0.511,21,46,0.457,24,42,0.571,0.631,21,25,0.84,5,27,32,27,6,4,10,22
10,10,11/12/24,@,PHI,W,111,99,,44,89,0.494,9,31,0.29,35,58,0.603,0.545,14,15,0.933,8,39,47,31,8,5,15,15,31,83,0.373,14,42,0.333,17,41,0.415,0.458,23,24,0.958,9,31,40,19,10,6,15,20
11,11,11/13/24,,CHI,L,123,124,,48,94,0.511,15,37,0.405,33,57,0.579,0.59,12,18,0.667,10,30,40,31,7,3,15,17,44,82,0.537,14,36,0.389,30,46,0.652,0.622,22,27,0.815,7,33,40,31,10,6,18,17
12,12,11/15/24,,BRK,W,124,122,,44,83,0.53,13,38,0.342,31,45,0.689,0.608,23,28,0.821,8,37,45,25,7,6,13,21,39,89,0.438,19,46,0.413,20,43,0.465,0.545,25,28,0.893,10,27,37,27,8,2,9,22
