Rk,Gtm,Date,H/@,Opp,score Rslt,score Tm,score Opp,score OT,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team 2P,Team 2PA,Team 2P%,Team eFG%,Team FT,Team FTA,Team FT%,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent 2P,Opponent 2PA,Opponent 2P%,Opponent eFG%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF
1,1,10/23/24,,IND,L,109,115,,38,88,0.432,9,33,0.273,29,55,0.527,0.483,24,28,0.857,12,26,38,22,6,2,14,21,42,83,0.506,9,31,0.29,33,52,0.635,0.56,22,25,0.88,7,32,39,32,10,8,15,23
2,2,10/25/24,@,CLE,L,101,113,,38,81,0.469,13,32,0.406,25,49,0.51,0.549,12,17,0.706,8,34,42,25,3,5,22,22,42,82,0.512,13,34,0.382,29,48,0.604,0.591,16,23,0.696,5,34,39,28,13,4,13,15
3,3,10/26/24,,BOS,L,118,124,,43,88,0.489,14,39,0.359,29,49,0.592,0.568,18,22,0.818,9,35,44,27,4,7,15,22,38,90,0.422,22,48,0.458,16,42,0.381,0.544,26,30,0.867,13,24,37,19,10,6,10,16
4,4,10/28/24,@,MIA,L,98,106,,35,91,0.385,14,38,0.368,21,53,0.396,0.462,14,17,0.824,19,35,54,14,6,6,17,19,38,88,0.432,15,47,0.319,23,41,0.561,0.517,15,20,0.75,10,34,44,24,14,3,12,14
5,5,10/30/24,@,PHI,W,105,95,,36,78,0.462,15,36,0.417,21,42,0.5,0.558,18,22,0.818,12,37,49,23,4,5,17,25,33,79,0.418,8,28,0.286,25,51,0.49,0.468,21,28,0.75,8,29,37,17,7,4,9,21
6,6,11/1/24,,NYK,L,98,128,,41,81,0.506,11,34,0.324,30,47,0.638,0.574,5,7,0.714,6,32,38,23,6,9,22,12,52,101,0.515,18,38,0.474,34,63,0.54,0.604,6,10,0.6,12,33,45,31,16,3,10,14
7,7,11/3/24,@,BRK,W,106,92,,37,77,0.481,11,36,0.306,26,41,0.634,0.552,21,26,0.808,9,38,47,25,4,6,21,25,32,71,0.451,9,31,0.29,23,40,0.575,0.514,19,31,0.613,4,23,27,23,9,3,14,24
8,8,11/4/24,,LAL,W,115,103,,45,96,0.469,8,34,0.235,37,62,0.597,0.51,17,22,0.773,17,38,55,22,6,5,12,25,37,85,0.435,9,25,0.36,28,60,0.467,0.488,20,27,0.741,7,30,37,28,8,1,13,16
9,9,11/6/24,@,CHO,L,107,108,,46,94,0.489,10,32,0.313,36,62,0.581,0.543,5,9,0.556,6,40,46,34,5,4,11,20,39,90,0.433,14,44,0.318,25,46,0.543,0.511,16,16,1,8,39,47,22,5,4,12,16
10,10,11/8/24,,ATL,W,122,121,,44,86,0.512,13,33,0.394,31,53,0.585,0.587,21,31,0.677,11,34,45,27,7,8,21,18,44,97,0.454,15,36,0.417,29,61,0.475,0.531,18,23,0.783,15,29,44,30,12,7,18,21
11,11,11/10/24,,HOU,L,99,101,,36,84,0.429,11,34,0.324,25,50,0.5,0.494,16,23,0.696,11,35,46,21,6,6,18,21,38,93,0.409,7,34,0.206,31,59,0.525,0.446,18,24,0.75,17,36,53,19,10,5,12,21
12,12,11/12/24,,MIA,W,123,121,OT,43,92,0.467,13,36,0.361,30,56,0.536,0.538,24,28,0.857,15,41,56,32,4,4,19,19,47,101,0.465,17,45,0.378,30,56,0.536,0.55,10,13,0.769,12,31,43,25,14,3,12,22
13,13,11/13/24,@,MIL,L,120,127,OT,46,100,0.46,18,38,0.474,28,62,0.452,0.55,10,13,0.769,11,34,45,29,6,7,15,21,45,95,0.474,15,35,0.429,30,60,0.5,0.553,22,25,0.88,9,38,47,26,10,9,12,12
14,14,11/15/24,@,TOR,W,99,95,,39,95,0.411,8,38,0.211,31,57,0.544,0.453,13,20,0.65,14,42,56,24,8,8,14,16,35,97,0.361,8,31,0.258,27,66,0.409,0.402,17,22,0.773,17,36,53,21,7,6,15,13
15,15,11/17/24,@,WAS,W,124,104,,46,97,0.474,17,38,0.447,29,59,0.492,0.562,15,19,0.789,13,38,51,27,11,4,9,19,39,83,0.47,12,27,0.444,27,56,0.482,0.542,14,20,0.7,5,34,39,21,6,3,17,16
16,16,11/18/24,,CHI,L,112,122,,42,98,0.429,15,44,0.341,27,54,0.5,0.505,13,19,0.684,16,32,48,27,3,3,9,19,44,91,0.484,23,46,0.5,21,45,0.467,0.61,11,14,0.786,10,36,46,28,3,5,11,16
17,17,11/21/24,@,CHO,L,121,123,OT,42,99,0.424,17,48,0.354,25,51,0.49,0.51,20,25,0.8,21,35,56,30,8,3,19,23,44,93,0.473,20,44,0.455,24,49,0.49,0.581,15,21,0.714,11,32,43,23,12,5,16,22
18,18,11/23/24,@,ORL,L,100,111,,35,75,0.467,13,33,0.394,22,42,0.524,0.553,17,22,0.773,10,24,34,16,7,8,17,21,40,87,0.46,12,39,0.308,28,48,0.583,0.529,19,22,0.864,17,27,44,25,13,9,15,20
